id,name,current_address,tags,postal_code
ed5c6b6e-65ba-43b2-8bce-d80522a56366,Ah Kow Mushroom Minced Pork Mee,,Hawker,
84cc1456-1495-4625-b930-09afb5148565,Allauddin's Briyani,Tekka Centre #01-04,Hawker; Indian,
ad188145-df8b-44a7-b8d7-9e6951a475a2,Birdhaus,Singapore,Hawker; Western,
afbbc674-ef71-4214-a444-5492152cd4ef,Bloom Artisan,Singapore,Desserts,
5cc37889-0b48-4c18-a136-00079cbc3704,Boon Tong Kee,Multiple outlets,Restaurant; Chicken Rice,
a828d9f4-1da2-435b-91c5-9d54c304eb71,Carmen's Best,Singapore,Desserts,
5f992391-11e4-4335-a725-c4677eb1de84,Cat In The Hat Bakery,Singapore,Bakery,
67851625-3085-4aa2-8250-0c9b05bd0005,Cenzo,Singapore,Restaurant; Western,
6d2e0ab0-083c-40b7-a0b0-c4a889f28f53,Cheeky Signature's,Multiple outlets,Hawker; Soup,
f62bcc3b-5f16-4a0b-bd8e-bfd0953917ad,Chi Le Mah,Singapore,Hawker,
be18cbf2-b9e4-444b-b9c9-09b92451a68b,Da Dong Prawn Noodles,Singapore,Hawker; Noodles,
2498c607-66cc-4097-94bb-a2eb4c43c8da,Danger Close Beverage Co.,Singapore,Cafe,
585e0d95-4290-481f-92df-c380e47c4e73,DDSD,Singapore,Hawker,
7853773c-b14a-4985-9b43-0ec29b91c296,Dearborn,New Bahru  Singapore,Cafe,
1f5c7755-2549-4194-9c97-ce27e2e1acf6,Dim Sum Express,,Dim Sum; Chinese; Hawker,
5f84da5c-0839-4863-a4ca-68f647b1c591,Dolc Patisserie,Singapore,Desserts,
5280fc8b-139d-4de7-8337-72bd5345e56d,Dong Ji Fried Kway Teow,Singapore,Hawker,
b9d0b6a8-62c8-4bfa-bb27-109d1545de2b,Durian Lab,Singapore,Desserts,
79e89bf4-b9a5-4bb7-b949-d9bf777ff041,Equate Coffee,,Cafe,
408d6060-990b-4a70-85af-f1bdc260b4de,Face Ban Mian,Multiple outlets,Hawker; Noodles,
f4500efb-2729-4eff-9c09-87ad23e2366d,Famous Eunos Bak Chor Mee,,Chinese,
a47cb8c2-8808-4fc9-bc78-e082d7cdbb48,Food Capital,Singapore,Buffet,
50bad0d8-651a-4ea4-8d6c-698c8f9221d1,Fool,Singapore,Restaurant; Bar,
e54eb8b8-e385-4468-8275-f9152d20a741,For The People,Singapore,Cafe,
7bd6a460-9a81-43e9-abff-47ed4623b35c,Fu Zhou Ban Mian,186 Toa Payoh Central  J99 Kopitiam,Hawker; Noodles,
e60f9eb8-14f2-45fb-a4cd-a1367e530db2,FYP Cafe,,Cafe; Western,
a11c11f9-8dd4-450e-a55e-b89bf35ebebc,Gandhi Restaurant,Singapore,Restaurant; Indian,
06f438c1-c832-4090-afb5-1e5dba59cabf,Generation Coffee Roasters,Singapore,Cafe,
ee3e082b-7f8b-463f-8338-ac310b1998c4,Golden Nur,Singapore,Hawker; Indian,
3f7c64f8-d459-406f-8566-8981dc7c41ec,GU:UM,,Restaurant; Korean,
65d75efb-cb23-480f-9f78-06aae541fa3d,Guilt,Singapore,Desserts,
def65e7e-3c6b-476f-a84b-b32e6976a23b,Harry's Eurasian Pies,Singapore,Hawker,
c0ee761c-3642-44ac-8ab4-5e43de938de9,He Jia Huan Ban Mian Mee Hoon Kway,Multiple outlets (Toa Payoh),Hawker; Noodles,
37a46c8e-a779-4199-a187-eebe453e95cc,Hill Street Tai Hwa Pork Noodle,,,
0f266d19-e677-4e3a-891b-431079ffe1d1,Hjh Maimunah,,Restaurant,
f9032b1d-f5cb-47f5-83d0-f1b4b767ed14,Hopscotch,Multiple outlets,Bar,
79df876d-64dd-4381-a078-021d6258d525,Huevos,New Bahru  Singapore,Restaurant,
078a8006-4771-44b0-9eb1-78982a356040,Humpback,20 Bukit Pasoh Rd  Singapore 089834,Restaurant; Japanese,
e5401d9f-d08e-4821-a04b-d153e2300181,Jade 玉楼,,Dim Sum; Chinese; Buffet; Restaurant,
0c44cf9e-273c-451a-8d61-ed1ccb39a975,JB Ah Meng,Singapore,Hawker,
dd9f9a86-5c16-473b-95e7-f552f40951ab,Jia Li Seafood Soup,Singapore,Hawker; Seafood; Soup,
90298072-9cd0-4eeb-94dd-a05fdabf377c,Jin Xi Lai (Mui Siong) Minced Meat Noodle,,,
e999d223-4bc9-484e-8d60-3f23b9504075,Kanaaji Katsu,Singapore,Hawker; Japanese,
e547c7b1-9746-4904-8386-6372b63abf74,Kelantan Kway Chap,Singapore,Hawker,
f270cd7b-2f54-44f7-8247-f823e783d61b,Keng Eng Kee,,Hawker; Restaurant; Chinese,
83ba0319-0cbb-4e35-9a06-002fb8f7fa28,KKI Sweets,Singapore,Japanese; Desserts,
6dd476b9-86f5-4e7b-a342-cc3da22acb92,Kream & Kensho,Singapore,Cafe; Desserts,
a0fb57c3-aaf7-411c-9863-20d2743d2d30,L'eclair Patisserie,Singapore Shopping Centre / Jewel,Desserts,
16bd6af8-f393-454c-aadd-fe90e9c4e587,La Porpo,Singapore,Cafe,
75225a92-b8c3-412a-8c23-e4879875fac4,Lai Heng Mushroom Minced Meat Noodles,,,
b7f93b08-7306-4500-b2d6-266191da4abe,Lao Dong Bei Shi Kao,Singapore,Buffet; Korean,
934d7672-3fa9-46ff-b2dd-ce603262da38,Les Clos,New Bahru  Singapore,Restaurant; Japanese,
1e1fdc1c-10d3-4cf0-af81-7134f0aecef7,Loong Fatt Tau Sar Piah,Singapore,Bakery,
1828ef9e-b671-46f2-9ca3-213a332fd7f3,Macpherson Minced Meat Noodles,,,
87064e65-3696-4414-8998-57e6923a429f,Mad Roaster,Singapore,Cafe,
3e23adfb-502e-4bdc-ba0a-9ca3890cb70d,Maison Sucree,Singapore,Cafe; Bakery,
bd86276f-f720-4a34-ae4f-3d51674be509,Mama Lemak,Hougang Mall Food Court,Hawker; Malay,
10973508-5f02-443d-975b-f56d89c3ceec,Mangiamo Pizzeria,Singapore,Restaurant; Western,
52aeb668-79fd-4788-95cc-d991c1bee60c,Mel Pot,Singapore,Desserts,
45bd3bbf-249b-4887-a833-482cb5a4e05d,Menbaka Fire Ramen,Singapore,Restaurant; Japanese,
117c2616-fbd0-4176-91e6-40bca2c013d3,Miznon,Singapore,Restaurant,
70b84213-07ac-41de-b07c-ad48b8517a8e,Mr and Mrs Mohgan's Super Crispy Roti Prata,Singapore,Hawker; Indian,
489a6183-1846-48eb-beab-fb5ad6e6bece,Mr Biryani,Singapore,Hawker; Indian,
fd5292bd-66a0-4030-b612-88ec02c0c0ab,Mrs Hen,Singapore,Hawker,
c08a3ef9-047a-42f0-af35-702c83ed072d,Ms Durian,,Cafe,
f2f87bc7-c213-4516-96fa-787221dc14dc,Niu Bi,Singapore,Hawker,
9d39ddf5-20ec-4b8a-ad77-13296dfc0c5c,Noodle Memories,Singapore,Hawker; Noodles,
9f0c07a4-7e39-4124-8660-524c9f2dc25d,Oatla,Singapore,Hawker,
f9903574-a671-4e8a-860b-f8ee2416263c,Ocean Curry Fish Head,Singapore,Hawker; Indian,
953987f3-4816-4522-a65a-e29b2d50030a,Odem,New Bahru  Singapore,Restaurant; Korean,
3f9133d6-038f-4261-83c5-ad5d60b9548b,Onalu,Singapore,Cafe,
f583fe33-65ef-487d-9d23-d498997a0c63,One Fattened Calf,New Bahru  Singapore,,
7fb140d9-7d4b-4227-85f3-919bac01df34,One Kueh At A Time,Singapore,Hawker,
cd8f8b65-26b1-45a2-ab29-fef3f2dc52c1,One Prawn & Co,New Bahru  Singapore,Restaurant; Japanese,
b927d55f-af4c-442f-93e9-399fda2920d4,Oyster Boy,Singapore,Hawker; Seafood,
8def57a3-2240-47b9-a296-526ab9711065,Pawa Bakery,Multiple outlets,Bakery,
a39c1c58-bf34-4186-8ed4-3d0d46a280ab,Pepper Bowl,Singapore,Hawker,
df4c0125-77fd-4f46-bfc4-b3fc6f7759fc,Peppermint,Singapore,Buffet,
79b8fb21-c32a-4bdb-9f72-977d81126b9d,Pho Hanoi,Singapore,Hawker; Vietnamese,
0f11c954-633f-4b0e-9875-2bb75f1e0f2d,Prince Noodles,Multiple outlets,Hawker; Noodles,
d6af0e79-c740-442b-8838-20cfdf051287,Rajarani Thosai,Singapore,Hawker; Indian,
140e2a23-3177-4a81-b461-526435124125,Rappu,Singapore,Restaurant; Japanese,
11a3ed22-9edc-4c7f-8a60-40b7b09eeed2,Rasa Istimewa Waterfront Restaurant,,Restaurant; Chinese,
7b80f620-64af-46c7-aad8-3395ca34efdb,Ratu Lemper,Singapore,Hawker,
d2cdd7c6-8e75-4a78-8e32-a1bc905ce1af,Raw Kitchen Bar,Singapore,Restaurant,
1adc83ef-eb5f-4999-8a0a-835ec2f9028b,Rayyan's Waroeng Upnormal,Singapore,Hawker,
b4624b0a-69fd-4180-a276-a178a58afae5,Salt,Singapore,Hawker,
d29387bc-7020-4c14-817f-d40045a8c7ee,San Pin Pao Fan,Singapore,Hawker; Seafood; Soup,
64e97456-0def-4f3b-a07c-64ee1441f2a6,Seng Kee Mushroom Minced Meat Noodle,,Hawker,
f6a503d3-f539-4b56-9767-0455854cfc25,Shinji By Kanesaka,,Japanese,
7dbbc817-c590-4d84-93ed-391853c5504b,Simon Road Hokkien Mee (Kovan),Kovan,Hawker; Noodles; Hokkien Mee,
a79aa406-edca-44c1-9328-f391706120d4,Soi Aroy,Singapore,Hawker; Thai,
16a83ccc-7814-4590-8a7f-56e44669c192,Soi Candy,Singapore,Restaurant; Thai,
0d0cdce4-cd51-4696-91c2-2b14215099cd,SSAK3,Singapore,Restaurant; Korean,
c6f18552-0022-478e-b908-5491c20c1211,Steeped Tea Bar,Singapore,Cafe,
7c5f127b-db61-490a-adfd-01dd04fbacb2,Summer Pavilion,,Restaurant; Japanese; Chinese,
d786f080-a090-4530-9039-3be8230b3c3a,Tang Lung,Singapore,Buffet; Chinese,
03d9236a-1ea3-48fe-ba58-ca34c40dfde2,Tee Kitchen,Singapore,Hawker,
cd08c022-8283-4908-b3dd-1b2e785529ed,The Masses,,Restaurant,
dce1a635-c04d-4e98-8bf9-9e408c9b3ff1,The Patio (Fro Roll),Singapore,Hawker; Desserts,
690ffd13-8e93-4b39-a1cd-55f8d156d0b5,TopTable,New Bahru  Singapore,Cafe,
df6b08b8-1753-4636-9019-1756afdd832d,Tracy's Sarawak Kitchen,1 Maju Ave  B1-K1 to K5 myVillage  Singapore 556679,GetFed; Local,
c9d07a53-21b2-4fb7-98e4-d88955d8d6fa,Traditional Haig Road Putu Piring,Singapore,Hawker,
0f2c3d30-dfd5-4a78-ac11-5cdf1b97a754,Tsukimi Hamburg,Multiple outlets,Restaurant; Japanese,
093aebca-2a6d-4076-9ae0-23de4586ee59,Unagi Tei,Singapore,Restaurant; Japanese,
78ba05b3-5832-4506-883f-a17af8c60c22,Waa Cow,,Restaurant; Western,
48be13af-af45-4b87-a66b-82d7f3310d57,WellSmoocht,Singapore,Cafe,
cccf48c3-74cb-4b10-b6b0-791e27f9a973,Yanxi Palace Steamboat,Singapore,Restaurant,
f4ed9fbf-d4f6-4916-aeb0-1e12b983a3ce,Yi Xuan Handmade Banmian Eating House,35 Circuit Road  Block 35,Hawker; Noodles,
eccdf88a-a250-4c0c-9166-bb1feba8c5e5,Yi Zi Wei,Singapore,Buffet,
98b41aea-41a7-4e1e-a820-1134bfbf009e,Yusoff Haji Jalal aka Satay Club,Singapore,Hawker,
