ID,Name,Station,Stored Distance (m),API Distance (m),Difference (m),Diff %,Stored Time (min),API Time (min)
7097fd6a-7e37-4b58-9d05-0ceecdd290d8,"Petit Saigon",South View,230,2205,1975,858.7,34,26
8b0047b4-2452-489c-9e5a-ee2418f1493e,"Jue Yan Lor Mee",South View,240,2205,1965,818.8,34,26
08c09839-5a8e-4bb8-9a5d-987f90702ce3,"Eng Kee Chicken Wings",South View,240,2205,1965,818.8,34,26
792b82c3-2b43-4c55-9c00-bfd960bde100,"Hakka Leipopo (Punggol)",Punggol Coast,230,1314,1084,471.3,22,16
05b90270-d7d2-4697-a8cf-9bd5f8a8f93f,"545 Whampoa Prawn Noodle",Boon Keng,970,1396,426,43.9,21,17
2c72d492-62d3-4eba-aa46-892d368238ce,"58 Minced Meat Noodle",Lakeside,1060,1432,372,35.1,42,17
0df85bf5-844e-4dd0-8559-92f5a1393837,"Boon Lay Satay",Lakeside,900,1271,371,41.2,18,15
5737f034-cac0-419a-95a6-3990938ccfc0,"Lian Yi BBQ Seafood",Lakeside,900,1266,366,40.7,18,15
58d02f2c-874e-476a-916c-912a3772b51b,"Song Kee Eating House",Ang Mo Kio,640,1001,361,56.4,21,12
6af52957-39d7-482f-8275-669aa47df91b,"99 Old Trees",Outram Park,60,397,337,561.7,36,5
0fa9f16b-9b7e-4930-a6b1-50c8cf7f1ced,"Blk 511 Bedok North Food",Bedok Reservoir,450,787,337,74.9,21,9
7db3c2ed-3e55-4d55-937b-998ee468690a,"Lu Jia Fish Soup",Yishun,1040,1373,333,32.0,13,16
e6cf7fba-63de-4e63-9e1b-cddf1f9f0b0c,"I. Mohamed Ismail Food Stall",Lakeside,870,1202,332,38.2,18,14
b17ae4b0-6923-4064-b967-2d49b09b47c8,"Ho Huat's Fried Hokkien Mee",Lakeside,890,1213,323,36.3,18,15
2327630e-3960-4c5b-8e40-9e0b1549f065,"Ramen-ya",Tanah Merah,470,755,285,60.6,31,9
93675e51-b42c-4c62-a6ba-503f638e282b,"Keisuke Tonkotsu King",City Hall,120,403,283,235.8,17,5
859397e8-a521-4d7d-8b87-0c20411418b9,"Fei Fei Roasted Noodles",Chinese Garden,560,794,234,41.8,21,10
1e4c9b4f-5f60-47ad-8430-a26848e4605b,"Jo Ju Bang",Tanjong Pagar,346,538,192,55.5,5,6
2d3dfadf-6e5d-472d-b46c-5bd1f330232d,"Bee Kia Seafood Restaurant",Novena,507,699,192,37.9,7,8
be9c23b2-83ae-4657-a2dc-3482b8100739,"Luli Singapore",City Hall,846,1029,183,21.6,11,12
c19abbfa-cca7-4ff9-a74c-0621343159f7,"Qiu Ji Carrot Cake",Bukit Gombak,240,414,174,72.5,18,5
6b26df81-2002-43c5-a7ac-0257ad13dc10,"Shi Mei Chicken Rice",Bukit Gombak,160,323,163,101.9,21,4
17c7de16-7452-4c93-9318-33d7de5d995e,"928 Yishun Laksa",Yishun,399,560,161,40.4,5,7
1f16f629-100e-4604-b707-2c4bb197b5a6,"Encore by Rhubarb",Tanjong Pagar,605,741,136,22.5,8,9
1a1d8c75-de77-4932-8420-dfc18aaf63e1,"Choon Hoy Parlor",City Hall,113,246,133,117.7,1,3
ffe7f218-e130-4cca-a9e1-86aae64578c2,"New Ubin Seafood",City Hall,230,359,129,56.1,168,4
01e0b603-ee70-4c2a-b3c0-d55204291c2a,"Hot Duck",Khatib,230,344,114,49.6,21,4
62b66c64-06e1-4c77-ab1c-b6ebf5f6c3c7,"Le Taste Bistro 8",Rochor,280,393,113,40.4,20,5
49e6add9-512a-4f5b-b646-176494e7bf6a,"Hvala",Bugis,90,179,89,98.9,20,2
ca647352-c36d-4246-9562-ba507861e4d2,"127 Lorong 1 Fish Soup",Braddell,320,407,87,27.2,20,5
217117dd-73b8-4630-90e2-55d8df851b71,"Hometaste Hakka Lei Cha",Braddell,300,383,83,27.7,19,5
8b320dfd-d6e7-4c0d-8219-cff196b37b84,"Xing Yun Chicken Rice",Chinese Garden,350,431,81,23.1,27,5
0a3fdf16-c219-4408-a7e6-da3b6cc5062d,"Le Shrimp Ramen",Dhoby Ghaut,210,291,81,38.6,22,4
de2e9f6c-1561-4022-8cff-8a206c006c2b,"Meijing Sabah Sandakan Fried Pork Noodle",Chinatown,222,294,72,32.4,3,4
01c76a3f-2ac9-494a-9daa-7b832768e08d,"Thai Express",City Hall,210,281,71,33.8,35,3
848402fe-8398-4033-be0e-d054f373670f,"Kinsa Sushi",Novena,260,330,70,26.9,137,4