id,name,mall_id,level
"astons-steak-and-salad-the-centrepoint","Astons Steak And Salad","the-centrepoint","#03-28/28A"
"beauty-in-the-pot-the-centrepoint","Beauty In The Pot","the-centrepoint","#05-14/15/16"
"bird-avenue-the-centrepoint","Bird Avenue","the-centrepoint","#B1-18"
"misato-the-centrepoint","Misato","the-centrepoint","#01-33E"
"tora-san-the-centrepoint","Tora San","the-centrepoint","#03-44"
"ji-xiang-kueh-the-centrepoint","Ji Xiang Kueh","the-centrepoint","#B1-K4"
"koi-the-the-centrepoint","Koi The","the-centrepoint","#B1-K2"
"malaysia-boleh-the-centrepoint","Malaysia Boleh","the-centrepoint","#B1-13"
"monster-planet-the-centrepoint","Monster Planet","the-centrepoint","#01-33C/D"
"toast-box-the-centrepoint","Toast Box","the-centrepoint","#B1-08"
"fairprice-finest-the-centrepoint","Fairprice Finest","the-centrepoint","#B1-01"
"mr-bean-the-centrepoint","Mr Bean","the-centrepoint","#B1-K3"
"the-dim-sum-place-the-centrepoint","The Dim Sum Place","the-centrepoint","#B1-07"
"paradise-classic-jewel","Paradise Classic","jewel-changi-airport","#04-244"
"potato-corner-jewel","Potato Corner","jewel-changi-airport","#B2-264"
"sushiro-jewel","Sushiro","jewel-changi-airport","#B2-227"
"coffee-168-people-s-park-centre","Coffee 168","people-s-park-centre",""
"pscafe-jewel","PS.Cafe","jewel-changi-airport","#02-244"
"saigon-legend-west-coast-plaza","Saigon Legend","west-coast-plaza","-"
"soup-restaurant-jewel","Soup Restaurant","jewel-changi-airport","#03-201"
"white-restaurant-jewel","White Restaurant","jewel-changi-airport","#B1-245"
"coco-lato-clarke-quay","Coco Lato","clarke-quay",""
"kopi-spells-clarke-quay","Kopi & Spells","clarke-quay",""
"malayan-settlement-clarke-quay","Malayan Settlement","clarke-quay",""
"breadtalk-wheelock-place","BreadTalk","wheelock-place",""
"chicha-san-chen--wheelock-place","CHICHA San Chen (吃茶三千)","wheelock-place",""
"cafe-at-zall-bookstore-wheelock-place","Cafe At Zall Bookstore","wheelock-place",""
"ms-caf-wheelock-place","M&S Café","wheelock-place",""
"priv-wheelock-place","Privé","wheelock-place",""
"-people-s-park-centre","永发猪什汤","people-s-park-centre",""
"namnam-noodle-bar-wheelock-place","NamNam Noodle Bar","wheelock-place",""
"pistachio-middle-eastern-mediterranean-grill-wheelock-place","Pistachio Middle Eastern & Mediterranean Grill","wheelock-place",""
"style-by-style-vibes-caf-wheelock-place","STYLE by STYLE VIBES Café","wheelock-place",""
"sun-with-moon-japanese-dining-caf-wheelock-place","Sun with Moon Japanese Dining & Café","wheelock-place",""
"uya--wheelock-place","Uya 四代目菊川","wheelock-place",""
"east-ocean-seafood-restaurant-people-s-park-complex-people-s-park-complex","East Ocean Seafood Restaurant People's Park Complex","people-s-park-complex",""
"chagee-waterway-point","CHAGEE","waterway-point",""
"buddy-hoagies-caf-grill-waterway-point","Buddy Hoagies Café & Grill","waterway-point",""
"byd-by-1826-waterway-point","BYD by 1826","waterway-point",""
"daily-chicken-waterway-point","Daily Chicken","waterway-point",""
"7caf-jewel","7Café","jewel-changi-airport","#B2-221"
"actioncity-caf-jewel","ActionCity Café","jewel-changi-airport","#04-223"
"ny-char-grill-jewel","NY Char Grill","jewel-changi-airport","#03-227"
"omega-pork-noodle-jewel","OMEGA Pork Noodle","jewel-changi-airport","#B2-223"
"paul-bakery-restaurant-jewel","PAUL Bakery & Restaurant","jewel-changi-airport","#B1-225"
"pizzamaru-jewel","Pizzamaru","jewel-changi-airport","#04-222"
"pop-play-planet-cafe-jewel","Pop Play Planet Cafe","jewel-changi-airport","#04-246"
"kiwami-ramen-gyoza-bar-jewel","Kiwami Ramen & Gyoza Bar","jewel-changi-airport","#01-225"
"koi-express-jewel","KOI Express","jewel-changi-airport","#B2-263"
"krispy-kreme-jewel","Krispy Kreme","jewel-changi-airport","#B2-270"
"lady-m-temporarily-closed-jewel","Lady M (Temporarily Closed)","jewel-changi-airport","#02-253"
"poulet-bijou-jewel","Poulet Bijou","jewel-changi-airport","#01-227"
"queic-by-olivia-jewel","Queic by Olivia","jewel-changi-airport","#01-K218"
"sampanman-kelong-changi-jewel","Sampanman Kelong Changi","jewel-changi-airport","#B1-223"
"sf-fruits-juices-jewel","SF Fruits & Juices","jewel-changi-airport","#B2-260"
"sugarbelly-jewel","SugarBelly","jewel-changi-airport","#B2-256"
"sukiya-gyudon-curry-jewel","SUKIYA. Gyudon. Curry","jewel-changi-airport","#B2-200"
"tai-er-suancai-fish-jewel","Tai Er Suancai & Fish","jewel-changi-airport","#03-208"
"talad-thai-banana-jewel","Talad Thai Banana","jewel-changi-airport","#B2-257"
"tambuah-mas-indonesian-restaurant-jewel","Tambuah Mas Indonesian Restaurant","jewel-changi-airport","#03-225"
"tempura-makino-jewel","Tempura Makino","jewel-changi-airport","#01-223"
"the-1872-clipper-tea-co-jewel","The 1872 Clipper Tea Co.","jewel-changi-airport","#02-237"
"tokyo-milk-cheese-factory-cow-cow-kitchen-jewel","Tokyo Milk Cheese Factory & Cow Cow Kitchen","jewel-changi-airport","#B2-265"
"tonito-jewel","TONITO","jewel-changi-airport","#02-248"
"tutto-by-da-paolo-jewel","Tutto by Da Paolo","jewel-changi-airport","#02-246"
"twenty-loaf-toasties-jewel","Twenty Loaf Toasties","jewel-changi-airport","#B2-274"
"waen-wagyu-yakiniku-jewel","Wa-En Wagyu Yakiniku","jewel-changi-airport","#01-224"
"wu-fang-zhai-jewel","Wu Fang Zhai","jewel-changi-airport","#B2-258"
"yes-lemon-jewel","YES LEMON","jewel-changi-airport","#03-211"
"yun-nans-jewel","Yun Nans","jewel-changi-airport","#02-217"
"yayoi-united-square","YAYOI","united-square","#B1-54"
"101-pot-noodles-united-square","101 Pot Noodles","united-square","#B1-03"
"328-katong-laksa-united-square","328 Katong Laksa","united-square","#01-K1"
"brauhaus-restaurant-pub-united-square","Brauhaus Restaurant & Pub","united-square","#B1-13"
"breadtalk-united-square","BreadTalk","united-square","#01-75A"
"souper-baby-by-soul-souper-united-square","Souper Baby by Soul Souper","united-square","#B1-60A"
"victoria-bakery-united-square","Victoria Bakery","united-square","#01-K7"
"wee-nam-kee-chicken-rice-united-square","Wee Nam Kee Chicken Rice","united-square","#01-08"
"yol-united-square","Yolé","united-square","#01-K14"
"the-coffee-bean-tea-leaf-united-square","The Coffee Bean & Tea Leaf®","united-square","#01-62"
"ya-kun-kaya-toast-amk-hub-amk-hub","Ya Kun Kaya Toast (AMK Hub)","amk-hub",""
"dian-xiao-er-jewel","Dian Xiao Er","jewel-changi-airport","#B2-229"
"an-acai-affair-jewel","An Acai Affair","jewel-changi-airport","#B2-262"
"arteastiq-depatio-jewel","Arteastiq DePatio","jewel-changi-airport","#05-200"
"auntie-annes-jewel","Auntie Anne's","jewel-changi-airport","#B2-272"
"bazil-kitchen-indian-cuisine-jewel","Bazil Kitchen [Indian Cuisine]","jewel-changi-airport","#03-229"
"beauty-in-the-pot-jewel","Beauty in the Pot","jewel-changi-airport","#B2-224"
"birds-of-paradise-jewel","Birds of Paradise","jewel-changi-airport","#01-254"
"boost-juice-bars-jewel","Boost Juice Bars","jewel-changi-airport","#B2-261"
"butter-cream-jewel","Butter & Cream","jewel-changi-airport","#B2-266"
"caf-kitsun-jewel","Café Kitsuné","jewel-changi-airport","#01-K209"
"cha-mulan-jewel","Cha Mulan","jewel-changi-airport","#B2-259"
"chicha-san-chen-jewel","CHICHA San Chen","jewel-changi-airport","#B2-213"
"chow-zan-dessert-jewel","Chow Zan Dessert","jewel-changi-airport","#B2-234"
"coucou-hotpotbrew-tea-jewel","Coucou Hotpot.Brew Tea","jewel-changi-airport","#02-208"
"creamie-sippies-opening-soon-jewel","Creamie Sippies (Opening Soon)","jewel-changi-airport","#01-K214"
"elfuego-by-collins-jewel","Elfuego by COLLIN'S®","jewel-changi-airport","#05-203"
"gelatissimo-jewel","Gelatissimo","jewel-changi-airport","#03-206"
"greendot-plus-jewel","Greendot Plus","jewel-changi-airport","#B1-297"
"gwangjang-gaon-jewel","Gwangjang GAON","jewel-changi-airport","#02-243"
"heytea-jewel","HEYTEA","jewel-changi-airport","#03-212"
"hitoyoshi-izakaya-jewel","Hitoyoshi Izakaya","jewel-changi-airport","#05-205"
"hoshino-coffee-japanese-caf-restaurant-jewel","Hoshino Coffee Japanese Café & Restaurant","jewel-changi-airport","#B1-249"
"hot-tomato-jewel","Hot Tomato","jewel-changi-airport","#04-229"
"imperial-treasure-super-peking-duck-jewel","Imperial Treasure Super Peking Duck","jewel-changi-airport","#01-219"
"ipoh-town--jewel","Ipoh Town 怡保城茶室","jewel-changi-airport","#B1-299"
"jumbo-seafood-jewel","JUMBO Seafood","jewel-changi-airport","#03-202"
"kams-roast-jewel","Kam's Roast","jewel-changi-airport","#02-210"
"kane-mochi-jewel","KANE MOCHI","jewel-changi-airport","#B2-269"
"kantin-jewel","Kantin","jewel-changi-airport","#05-206"
"lema-dumpling-jewel","LeMa Dumpling","jewel-changi-airport","#B2-232"
"llaollao-jewel","llaollao","jewel-changi-airport","#B2-271"
"mamma-mia-trattoria-e-caff-jewel","Mamma Mia Trattoria E Caffé","jewel-changi-airport","#04-200"
"monarchs-milkweed-jewel","Monarchs & Milkweed","jewel-changi-airport","#04-218"
"nasty-cookie-jewel","Nasty Cookie","jewel-changi-airport","#03-207"
"nesuto-jewel","Nesuto","jewel-changi-airport","#01-236"
"nine-fresh-jewel","Nine Fresh","jewel-changi-airport","#B2-244"
"nong-geng-ji-jewel","Nong Geng Ji","jewel-changi-airport","#B2-235"
"the-coach-restaurant-jewel","The Coach Restaurant","jewel-changi-airport","#01-207"
"the-hainan-story-jewel","The Hainan Story","jewel-changi-airport","#B2-201"
"the-coffee-bean-tea-leaf-jewel","The Coffee Bean & Tea Leaf","jewel-changi-airport","#01-200"
"epok-epok-mummy-canberra-plaza","Epok Epok Mummy","canberra-plaza",""
"burnt-cones-united-square","Burnt Cones","united-square","#01-K9"
"duke-bakery-united-square","Duke Bakery","united-square","#B1-61"
"food-dynasty-united-square","Food Dynasty","united-square","#B1-02"
"gx-banh-mi-united-square","GX BANH MI","united-square","#B1-06"
"hao-wei-lai-united-square","Hao Wei Lai","united-square","#B1-05"
"honeyworld-united-square","HoneyWorld®","united-square","#B1-K4"
"peperoni-pizzeria-united-square","Peperoni Pizzeria","united-square","#01-07"
"rong-wantan-noodle-united-square","Rong Wantan Noodle","united-square","#01-K17"
"hoshino-coffee-united-square","Hoshino Coffee","united-square","#02-06"
"koi-th-united-square","KOI Thé","united-square","#B1-60"
"mcdonalds-united-square","McDonald's","united-square","#B1-11"
"menya-aoi-united-square","Menya Aoi","united-square","#B1-04"
"rb-tea-united-square","R&B Tea","united-square","#02-K1"
"sf-fruits-united-square","SF Fruits","united-square","#01-01B"
"burger-king-united-square","Burger King","united-square","#01-02"
"toast-box-united-square","Toast Box","united-square","#01-81"
"shake-shake-in-a-tub-tampine-hub-our-tampines-hub","Shake Shake in a Tub - Tampine Hub","our-tampines-hub",""
"fish-co-our-tampines-hub-our-tampines-hub","Fish & Co. Our Tampines Hub","our-tampines-hub",""
"burger-king-waterway-point","Burger King","waterway-point",""
"kei-kaisendon-wheelock-place","Kei Kaisendon","wheelock-place",""
"cedele-wheelock-place","Cedele","wheelock-place",""
"toast-box-wheelock-place","Toast Box","wheelock-place",""
"dlifrance-waterway-point","Délifrance","waterway-point",""
"ajummas-waterway-point","Ajumma's","waterway-point",""
"din-tai-fung-waterway-point","Din Tai Fung","waterway-point",""
"daxi-amk-hub-amk-hub","DaXi - AMK Hub","amk-hub",""
"saizeriya-changi-city-point","Saizeriya","changi-city-point",""
"mr-coconut-east-point-eastpoint-mall","Mr. Coconut @ East Point","eastpoint-mall",""
"dapur-penyet-jewel","Dapur Penyet","jewel-changi-airport","#B2-241"
"din-tai-fung-jewel","Din Tai Fung","jewel-changi-airport","#03-214"
"hakka-yu-jewel","Hakka Yu","jewel-changi-airport","#03-220"
"aburien-jewel","Aburi-EN","jewel-changi-airport","#B2-233"
"monster-curry-jewel","Monster Curry","jewel-changi-airport","#03-200"
"song-fa-bak-kut-teh-jewel","Song Fa Bak Kut Teh","jewel-changi-airport","#B2-278"
"arteastiq-jewel","Arteastiq","jewel-changi-airport","#05-201"
"joshs-grill-jewel","Josh's Grill","jewel-changi-airport","#B2-210"
"mr-coconut-jewel","Mr. Coconut","jewel-changi-airport","#B2-268"
"guzman-y-gomez-jewel","Guzman y Gomez","jewel-changi-airport","#B2-211"
"old-chang-kee-jewel","Old Chang Kee","jewel-changi-airport","#B2-247"
"shihlin-taiwan-street-food-jewel","Shihlin Taiwan Street Food","jewel-changi-airport","#B2-246"
"kei-kaisendon-jewel","Kei Kaisendon","jewel-changi-airport","#03-213"
"shake-shack-jewel","Shake Shack","jewel-changi-airport","#02-256"
"starbucks-jewel","Starbucks","jewel-changi-airport","#02-204"
"so-pho-jewel","So Pho","jewel-changi-airport","#B1-248"
"sushi-tei-jewel","Sushi Tei","jewel-changi-airport","#03-209"
"tonkatsu-by-ma-maison-jewel","Tonkatsu by Ma Maison","jewel-changi-airport","#02-211"
"the-original-vadai-jewel","The Original Vadai","jewel-changi-airport","#B2-267"
"toast-box-jewel","Toast Box","jewel-changi-airport","#B2-231"
"ya-kun-kaya-toast-jewel","Ya Kun Kaya Toast","jewel-changi-airport","#01-230"
"ichiban-boshi-united-square","Ichiban Boshi","united-square","#02-02"
"saizeriya-united-square","Saizeriya","united-square","#B1-32"
"paris-baguette-jewel","Paris Baguette","jewel-changi-airport","#02-200"
"the-tree-cafe-marina-square-marina-square","The Tree Cafe (Marina Square)","marina-square",""
"genki-sushi-united-square","Genki Sushi","united-square","#B1-07"
"huggs-coffee-united-square","Huggs Coffee","united-square","#02-K2"
"the-dim-sum-place-united-square","The Dim Sum Place","united-square","#01-14"
"starbucks-united-square","STARBUCKS®","united-square","#01-01"
"ya-kun-kaya-toast-united-square","Ya Kun Kaya Toast","united-square","#B1-38"
"tsuta-japanese-soba-noodles-jewel","Tsuta Japanese Soba Noodles","jewel-changi-airport","#03-218"
"nam-kee-pau-united-square","Nam Kee Pau","united-square","#01-77"
"soup-restaurant-united-square","Soup Restaurant","united-square","#B1-10"
"tora-san-united-square","TORA- SAN","united-square","#B1-12"
"ghost-kakigori-jurong-point-jurong-point","Ghost Kakigori (Jurong Point)","jurong-point",""
"dutch-colony-coffee-co-our-tampines-hub","Dutch Colony Coffee Co.","our-tampines-hub",""
"dlifrance-wheelock-place","Délifrance","wheelock-place",""
"aone-signature-waterway-point","A-One Signature","waterway-point",""
"cedele-bakery-kitchen-waterway-point","Cedele Bakery Kitchen","waterway-point",""
"starbucks-wheelock-place","Starbucks","wheelock-place",""
"fish-co-waterway-point","Fish & Co.","waterway-point",""
"bakeinc-sun-plaza","Bakeinc","sun-plaza",""
"bengawan-solo-sun-plaza","Bengawan Solo","sun-plaza",""
"gong-yuan-ma-la-tang-waterway-point","Gong Yuan Ma La Tang","waterway-point",""
"four-leaves-sun-plaza","Four Leaves","sun-plaza",""
"fragrance-bak-kwa-sun-plaza","Fragrance Bak Kwa","sun-plaza",""
"fruitbox-sun-plaza","FruitBox","sun-plaza",""
"gyozasan-sun-plaza","Gyoza-San","sun-plaza",""
"-arabica-jewel","% Arabica","jewel-changi-airport","#01-K208"
"mrs-pho-jewel","Mrs Pho","jewel-changi-airport","#03-216"
"putien-jewel","PUTIEN","jewel-changi-airport","#02-249"
"lenu-jewel","LeNu","jewel-changi-airport","#04-244"
"the-home-restaurant--sun-plaza","The Home Restaurant 回味之家","sun-plaza",""
"mr-bean-sun-plaza","Mr Bean","sun-plaza",""
"nine-fresh-sun-plaza","Nine Fresh","sun-plaza",""
"ordinary-burgers-sun-plaza","Ordinary Burgers","sun-plaza",""
"rampb--sun-plaza","R&amp;B 巡茶","sun-plaza",""
"koong-woh-tong--sun-plaza","Koong Woh Tong 恭和堂","sun-plaza",""
"men-men-don-don-sun-plaza","Men Men Don Don","sun-plaza",""
"pontian-wanton-noodles-sun-plaza","Pontian Wanton Noodles","sun-plaza",""
"kenangan-coffee-jewel","Kenangan Coffee","jewel-changi-airport","#B2-255"
"mui-kee-shaw-centre","Mui Kee","shaw-centre",""
"shabu-jin-shaw-centre","Shabu Jin","shaw-centre",""
"aw-jewel","A&W","jewel-changi-airport","#B2-209"
"bistro-du-vin-shaw-centre","Bistro Du Vin","shaw-centre",""
"les-amis-restaurant-shaw-centre","Les Amis Restaurant","shaw-centre",""
"jinjja-chicken-jewel","Jinjja Chicken","jewel-changi-airport","#B1-247"
"la-taperia-wine-tapas-shaw-centre","La Taperia Wine & Tapas","shaw-centre",""
"tenjin-shaw-centre","Tenjin","shaw-centre",""
"jacks-place-jewel","Jack's Place","jewel-changi-airport","#05-202"
"jinjo-shaw-centre","JINJO","shaw-centre",""
"royal-host-jewel","Royal Host","jewel-changi-airport","#03-219"
"xi-yan-shaw-centre","Xi Yan","shaw-centre",""
"8-korean-bbq-shaw-centre","8 KOREAN BBQ","shaw-centre",""
"bar-ippudo-shaw-centre","Bar IPPUDO","shaw-centre",""
"sushi-ryujiro-shaw-centre","Sushi Ryujiro","shaw-centre",""
"sushi-jin-shaw-centre","Sushi Jin","shaw-centre",""
"unagi-yondaime-kikukawa-shaw-centre","Unagi Yondaime Kikukawa","shaw-centre",""
"fi-woodfire-thai-shaw-centre","Fi Woodfire Thai","shaw-centre",""
"the-ship-restaurant-bar-shaw-centre","The Ship Restaurant & Bar","shaw-centre",""
"ippudo-sg-shaw-centre","Ippudo SG","shaw-centre",""
"tuk-tuk-thai-kitchen-ngee-ann-city","Tuk Tuk Thai Kitchen","ngee-ann-city",""
"picolino-shaw-centre","Picolino","shaw-centre",""
"wagyu-jin-shaw-centre","Wagyu Jin","shaw-centre",""
"1855-the-bottle-shop-united-square","1855 The Bottle Shop","united-square","#B1-56C"
"scotts-grill-shaw-centre","Scotts Grill","shaw-centre",""
"zeniya-shaw-centre","Zeniya","shaw-centre",""
"fish-co-jewel","Fish & Co","jewel-changi-airport","#B1-300"
"food-republic-jewel","Food Republic","jewel-changi-airport","#B2-238"
"kfc-jewel","KFC","jewel-changi-airport","#B2-275"
"munchi-pancakes-jewel","Munchi Pancakes","jewel-changi-airport","#B2-273"
"gochiso-shokudo-jewel","Gochi-So Shokudo","jewel-changi-airport","#B1-289"
"luckin-coffee-jewel","Luckin Coffee","jewel-changi-airport","#04-231"
"sanook-kitchen-jewel","Sanook Kitchen","jewel-changi-airport","#03-223"
"subway-jewel","Subway","jewel-changi-airport","#B2-230"
"tim-ho-wan-jewel","Tim Ho Wan","jewel-changi-airport","#02-223"
"tsui-wah-jewel","Tsui Wah","jewel-changi-airport","#03-230"
"tun-xiang-hokkien-delights-jewel","Tun Xiang Hokkien Delights","jewel-changi-airport","#B1-290"
"treasures-yi-dian-xin-jewel","Treasures Yi Dian Xin","jewel-changi-airport","#01-221"
"mei-wei-ban-mian-mee-hoon-kueh-toa-payoh-hdb-hub","Mei Wei Ban Mian. Mee Hoon Kueh","toa-payoh-hdb-hub",""
"old-chang-kee-united-square","Old Chang Kee","united-square","#01-K2"
"50-taste-of-tradition-united-square","50年 Taste of Tradition","united-square","#01-58"
"carls-jr-singpost","Carl's Jr","singpost-centre",""
"bai-wei-mini-bowl-singpost","Bai Wei Mini Bowl","singpost-centre",""
"bibimbap-singpost","Bibimbap!","singpost-centre",""
"chicken-hotpot-singpost","Chicken Hotpot","singpost-centre",""
"toast-box-amk-hub-amk-hub","Toast Box (AMK Hub)","amk-hub",""
"grab-gold-caf-singpost","grab & Gold® Café","singpost-centre",""
"kaffe-toast-thai-noodle-bar-singpost","Kaffe & Toast / Thai Noodle Bar","singpost-centre",""
"hjh-maimunah-singpost","HJH Maimunah","singpost-centre",""